rating,locationcity,locationstate,ownerid,ratedaily,vehiclemake,vehiclemodel,vehicletype,vehicleyear,airportcity
4.76,Philadelphia,PA,2541813,112,Mercedes-Benz,CLA-Class,car,2014,Philadelphia
4.88,Commerce City,CO,2318184,45,Toyota,RAV4,suv,2010,Denver
4.82,Las Vegas,NV,3484421,38,Honda,Civic,car,2016,Las Vegas
4.99,Jersey City,NJ,67096,70,Toyota,Camry,car,2016,Newark
4.89,Las Vegas,NV,1970699,109,Porsche,Boxster,car,2013,Las Vegas
4.98,Oakland,CA,2280266,83,Jeep,Wrangler,suv,2015,Oakland
4.79,Philadelphia,PA,2541813,85,Jeep,Wrangler,suv,2017,Philadelphia
4.87,San Diego,CA,3689861,39,FIAT,500,car,2012,San Diego
4.9,Atlanta,GA,1426383,33,Nissan,Sentra,car,2017,Atlanta
4.92,Forest Park,GA,1727097,52,Kia,Optima,car,2013,Atlanta
4.68,Lakewood,CO,2245310,48,Toyota,4Runner,suv,2005,Denver
4.97,Los Angeles,CA,376701,220,Tesla,Model 3,car,2018,Ontario
4.93,Portland,OR,686744,50,BMW,3 Series,car,2014,Portland
4.8,Portland,OR,2459011,70,Lexus,IS 250,car,2014,Portland
4.88,Scottsdale,AZ,687208,52,Chevrolet,Malibu Limited,car,2016,Phoenix
4.92,Burlingame,CA,487015,79,BMW,3 Series,car,2014,San Francisco
4.99,Jersey City,NJ,9450147,84,Toyota,RAV4,suv,2014,Newark
4.85,Minneapolis,MN,2000159,32,BMW,X5,suv,2008,Minneapolis
4.93,Denver,CO,1536463,90,Toyota,4Runner,suv,2011,Denver
4.95,Las Vegas,NV,3484421,129,Jaguar,F-TYPE,car,2016,Las Vegas
4.96,Honolulu,HI,1140662,54,Toyota,Prius,car,2008,Honolulu
4.88,Lone Tree,CO,558427,62,Kia,Optima,car,2017,Denver
4.96,San Antonio,TX,651599,104,BMW,4 Series,car,2014,San Antonio
4.93,San Diego,CA,2263885,69,Ford,Mustang,car,2016,San Diego
4.96,Atlanta,GA,511103,155,Chevrolet,Corvette Stingray,car,2014,Atlanta
4.88,Missouri City,TX,1468529,28,Toyota,Corolla,car,2016,Houston
4.93,Indianapolis,IN,106644,42,Chevrolet,Silverado 1500,truck,2009,Indianapolis
4.98,Madison,WI,1404003,29,Honda,Civic,car,2012,Madison
4.88,Fort Myers,FL,2456231,31,Toyota,Prius,car,2007,Fort Myers
4.89,Jersey City,NJ,875927,193,Tesla,Model 3,car,2018,Newark
4.98,Las Vegas,NV,9142498,88,Polaris,Slingshot,car,2019,Las Vegas
4.89,East Los Angeles,CA,3217019,35,Jeep,Patriot,suv,2016,Los Angeles
4.82,Minneapolis,MN,1300675,27,Toyota,Corolla,car,2013,Minneapolis
4.75,Metairie,LA,198464,38,Toyota,Yaris,car,2014,New Orleans
5,San Diego,CA,8761848,139,BMW,i8,car,2016,San Diego
4.82,Lakewood,CO,4057191,60,Toyota,RAV4,suv,2010,Denver
4.95,Saint Paul,MN,2245898,39,Ford,Escape,suv,2010,Minneapolis
4.9,Metairie,LA,198464,34,Ford,C-Max Hybrid,car,2013,New Orleans
4.94,Seattle,WA,1836536,80,Tesla,Model 3,car,2018,Seattle
4.98,Las Vegas,NV,499176,166,Tesla,Model X,suv,2016,Las Vegas
4.97,Las Vegas,NV,1427288,129,Alfa Romeo,4C,car,2016,Las Vegas
5,Portland,OR,6659719,74,Mercedes-Benz,C-Class,car,2018,Portland
4.94,Jersey City,NJ,519772,225,Land Rover,Range Rover Velar,suv,2018,Newark
5,Las Vegas,NV,1670971,35,Toyota,Corolla,car,2017,Las Vegas
4.99,Shawnee,KS,1045538,30,Chevrolet,Volt,car,2012,Kansas City
4.82,Chicago,IL,5147182,29,Toyota,RAV4,suv,2006,Chicago
4.81,Miami,FL,637495,40,Nissan,Altima,car,2018,Miami
4.98,Phoenix,AZ,4009047,149,Chevrolet,Corvette,car,2016,Phoenix
4.92,San Diego,CA,2263885,79,Tesla,Model 3,car,2018,San Diego
4.8,Lakewood,CO,2245310,52,Toyota,FJ Cruiser,suv,2008,Denver
4.79,Houston,TX,1821886,75,BMW,3 Series,car,2008,Houston
4.96,Schaumburg,IL,2966298,129,Tesla,Model 3,car,2018,Chicago
4.62,Lakewood,CO,2245310,49,Toyota,Sienna,minivan,2012,Denver
4.95,Las Vegas,NV,1970699,129,BMW,M4,car,2015,Las Vegas
4.69,Buena Park,CA,6357487,48,BMW,3 Series,car,2015,Los Angeles
4.63,Lakewood,CO,2245310,47,Toyota,Sienna,minivan,2007,Denver
4.92,Savannah,GA,4609659,40,Nissan,Sentra,car,2018,Savannah
4.94,Savannah,GA,4609659,34,Nissan,Versa,car,2018,Savannah
4.82,Jacksonville,FL,3375565,50,Jeep,Renegade,suv,2017,Jacksonville
4.94,Phoenix,AZ,1135852,62,BMW,3 Series,car,2013,Phoenix
4.68,Lakewood,CO,2245310,40,Toyota,Sienna,minivan,2005,Denver
4.82,Jersey City,NJ,2611541,99,Ford,Mustang,car,2015,Newark
4.85,Philadelphia,PA,640066,70,Chevrolet,Malibu,car,2013,Philadelphia
4.84,Raleigh,NC,640470,26,Buick,LaCrosse,car,2007,Raleigh/Durham
4.98,Noblesville,IN,106644,64,Chrysler,Pacifica,minivan,2017,Indianapolis
4.83,Los Angeles,CA,966277,59,BMW,3 Series,car,2013,Los Angeles
4.79,Minneapolis,MN,2000159,29,Audi,A4,car,2007,Minneapolis
4.93,Savannah,GA,641610,30,Toyota,Corolla,car,2017,Savannah
4.71,Honolulu,HI,595685,85,Chevrolet,Camaro,car,2019,Honolulu
4.81,Atlanta,GA,507900,51,Nissan,Altima,car,2016,Atlanta
5,Jacksonville,FL,742089,54,Honda,Civic,car,2018,Jacksonville
4.65,Arlington,VA,3276160,49,Audi,A4,car,2015,Washington
4.87,Jacksonville,FL,3375565,72,Dodge,Durango,suv,2017,Jacksonville
4.79,Minneapolis,MN,1300675,27,Toyota,Corolla,car,2011,Minneapolis
4.84,Minneapolis,MN,1300675,27,Toyota,Corolla,car,2012,Minneapolis
4.92,Los Angeles,CA,1300139,27,Toyota,Matrix,car,2009,Los Angeles
4.98,Savannah,GA,4609659,49,Honda,Accord,car,2017,Savannah
4.75,Irvine,CA,1186913,39,Honda,Civic Sedan,car,2019,Santa Ana
5,Honolulu,HI,2800098,50,Kia,Sportage,suv,2014,Honolulu
4.67,Lakewood,CO,2245310,40,Toyota,Sienna,minivan,2007,Denver
4.64,Lakewood,CO,2245310,45,Toyota,4Runner,suv,2005,Denver
4.97,Dania Beach,FL,4881621,53,Ford,Mustang,car,2016,Fort Lauderdale
4.72,Miami,FL,637495,110,Ford,Mustang,car,2019,Miami
4.79,Minneapolis,MN,1300675,26,Toyota,Corolla,car,2012,Minneapolis
4.74,Sterling,VA,449378,46,Chevrolet,Volt,car,2013,Washington
4.96,Las Vegas,NV,1670971,35,Honda,Civic,car,2017,Las Vegas
4.98,San Francisco,CA,6630342,179,Porsche,911,car,2013,San Francisco
4.85,Doraville,GA,53029,99,Mercedes-Benz,GLA-Class,suv,2017,Atlanta
